0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
-0.058;0.008;-0.002;0;0;0;0;0;0;0.025;0.089;-0.091;0.025;0.098;-0.081;0;0;0;0;0;0;0.569;0.116;-0.103;0.953;0.086;0.01;-0.165;0;0.598;0.102;-0.103;0.953;-0.009;-0.012;-0.159;0;0;0;-0.792;0.12;0.012;0.766;0.369;-0.657;0.353;0;0;-0.705;0.144;-0.106;0.758;-0.05;-0.001;0;-1;-0.625;0.244;0.664;0.042;-0.729;0.526;0.278;-0.007;-0.286;0.239;0.034;-0.021;-1;0.09;-0.165;-0.057;-0.873;0.127;-0.309;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.065;0.008;-0.003;0;0;0;0;0;0;-0.015;0.082;0.175;0.017;0.065;0.205;0;0;0;0;0;0;0.555;0.121;-0.087;0.956;0.106;0.016;-0.17;0;0.602;0.103;-0.107;0.955;-0.035;-0.021;-0.157;0;0;0;-0.781;0.156;0.201;0.379;0.006;0;0;0;0;-0.743;0.15;0.026;0.762;-0.049;-0.001;0;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.065;0.008;-0.003;0;0;0;0;0;0;-0.015;0.08;0.18;0.011;0.062;0.207;0;0;0;0;0;0;0.554;0.119;-0.085;0.956;0.105;0.016;-0.168;0;0.602;0.103;-0.108;0.955;-0.034;-0.021;-0.156;0;0;0;-0.783;0.16;0.197;0.306;0.006;0;0;0;0;-0.743;0.15;0.025;0.762;-0.049;-0.001;0;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.058;0.008;-0.002;0;0;0;0;0;0;0.008;0.082;-0.121;0.008;0.095;-0.112;0;0;0;0;0;0;0.57;0.116;-0.103;0.953;0.086;0.01;-0.165;0;0.598;0.102;-0.104;0.953;-0.009;-0.012;-0.159;0;0;0;-0.791;0.119;0.012;0.768;0.369;-0.657;0.353;0;0;-0.705;0.145;-0.081;0.725;-0.045;0;0;-1;-0.625;0.244;0.664;0.042;-0.729;0.526;0.278;-0.007;-0.286;0.239;0.034;-0.021;-1;0.09;-0.165;-0.057;-0.873;0.127;-0.309;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.058;0.008;-0.002;0;0;0;0;0;0;-0.008;0.074;-0.148;-0.009;0.09;-0.14;0;0;0;0;0;0;0.57;0.116;-0.102;0.953;0.086;0.01;-0.165;0;0.598;0.102;-0.104;0.953;-0.009;-0.012;-0.159;0;0;0;-0.791;0.119;0.012;0.768;0.369;-0.657;0.353;0;0;-0.704;0.146;-0.038;0.663;-0.044;0;0;-1;-0.625;0.244;0.664;0.042;-0.729;0.526;0.278;-0.007;-0.286;0.239;0.034;-0.021;-1;0.09;-0.165;-0.057;-0.873;0.127;-0.309;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.058;0.008;-0.002;0;0;0;0;0;0;-0.02;0.069;-0.21;-0.021;0.091;-0.202;0;0;0;0;0;0;0.57;0.115;-0.101;0.953;0.086;0.01;-0.165;0;0.598;0.102;-0.105;0.953;-0.009;-0.012;-0.159;0;0;0;-0.79;0.119;0.012;0.769;0.368;-0.657;0.353;0;0;-0.701;0.148;0.01;0.566;-0.042;0;0;-1;-0.625;0.244;0.664;0.042;-0.729;0.526;0.278;-0.007;-0.286;0.239;0.034;-0.021;-1;0.09;-0.165;-0.057;-0.873;0.127;-0.309;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.058;0.008;-0.003;0;0;0;0;0;0;-0.039;0.064;-0.312;-0.042;0.097;-0.303;0;0;0;0;0;0;0.57;0.115;-0.099;0.953;0.085;0.01;-0.164;0;0.598;0.103;-0.108;0.953;-0.008;-0.013;-0.158;0;0;0;-0.789;0.119;0.011;0.769;0.368;-0.657;0.353;0;0;-0.683;0.146;0.014;0.476;-0.048;-0.001;0;-1;-0.625;0.244;0.664;0.042;-0.729;0.526;0.278;-0.007;-0.286;0.239;0.034;-0.021;-1;0.09;-0.165;-0.057;-0.873;0.127;-0.309;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.058;0.007;-0.003;0;0;0;0;0;0;-0.07;0.064;-0.427;-0.076;0.109;-0.417;0;0;0;0;0;0;0.57;0.114;-0.097;0.953;0.084;0.01;-0.164;0;0.598;0.104;-0.111;0.953;-0.006;-0.013;-0.157;0;0;0;-0.789;0.119;0.011;0.77;0.368;-0.657;0.353;0;0;-0.631;0.128;-0.036;0.39;-0.065;-0.001;0;-1;-0.625;0.244;0.664;0.042;-0.729;0.526;0.278;-0.007;-0.286;0.239;0.034;-0.021;-1;0.09;-0.165;-0.057;-0.873;0.127;-0.309;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.058;0.007;-0.003;0;0;0;0;0;0;-0.106;0.059;-0.522;-0.116;0.113;-0.511;0;0;0;0;0;0;0.571;0.113;-0.094;0.953;0.082;0.01;-0.164;0;0.598;0.105;-0.114;0.954;-0.004;-0.013;-0.157;0;0;0;-0.789;0.119;0.011;0.77;0.368;-0.657;0.353;0;0;-0.568;0.104;-0.074;0.306;-0.082;0;0;-1;-0.625;0.244;0.664;0.042;-0.729;0.526;0.278;-0.007;-0.286;0.239;0.034;-0.021;-1;0.09;-0.165;-0.057;-0.873;0.127;-0.309;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.058;0.007;-0.003;0;0;0;0;0;0;-0.14;0.053;-0.587;-0.152;0.114;-0.575;0;0;0;0;0;0;0.571;0.112;-0.091;0.953;0.08;0.01;-0.163;0;0.598;0.107;-0.118;0.954;-0.001;-0.014;-0.156;0;0;0;-0.788;0.118;0.012;0.771;0.368;-0.657;0.353;0;0;-0.493;0.062;-0.107;0.192;-0.093;0;0;-1;-0.625;0.244;0.664;0.042;-0.729;0.526;0.278;-0.007;-0.286;0.239;0.034;-0.021;-1;0.09;-0.165;-0.057;-0.873;0.127;-0.309;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
