0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
-0.068;-0.002;-0.001;0;0;0;0;0;0;0.028;0.074;0.381;0.023;0.034;0.387;0;0;0;0;0;0;0.603;0.151;-0.116;0.954;0.029;-0.004;-0.163;0;0.588;0.09;-0.099;0.953;0.055;0.003;-0.165;0;0;0;-0.768;0.121;0.035;0.786;-0.126;0.231;0.052;0;0;-0.741;0.155;-0.067;0.731;-0.894;0.063;0.167;-1;-0.785;0.652;0.65;-0.112;-0.734;-0.011;0.139;-0.688;1;-1;-0.403;-0.63;-1;-1;-0.822;-0.607;-1;-1;-1;-1;-0.628;0.089;0.414;-0.378;0.464;-0.6;-0.574;-1;1;-1;-0.228;-0.936;-0.952;-0.988;-0.303;-0.999;0.023;-0.547;-0.049
-0.069;-0.002;-0.001;0;0;0;0;0;0;0.029;0.074;0.381;0.023;0.033;0.387;0;0;0;0;0;0;0.603;0.151;-0.116;0.954;0.028;-0.004;-0.163;0;0.588;0.09;-0.099;0.953;0.055;0.003;-0.165;0;0;0;-0.767;0.121;0.034;0.786;-0.125;0.231;0.052;0;0;-0.74;0.155;-0.067;0.731;-0.894;0.063;0.167;-1;-0.785;0.652;0.65;-0.112;-0.734;-0.011;0.139;-0.688;1;-1;-0.403;-0.63;-1;-1;-0.822;-0.607;-1;-1;-1;-1;-0.628;0.089;0.414;-0.378;0.464;-0.6;-0.574;-1;1;-1;-0.228;-0.936;-0.952;-0.988;-0.303;-0.999;0.023;-0.547;-0.049
-0.069;-0.001;-0.001;0;0;0;0;0;0;0.029;0.074;0.381;0.023;0.034;0.387;0;0;0;0;0;0;0.603;0.151;-0.116;0.954;0.028;-0.004;-0.163;0;0.588;0.09;-0.099;0.953;0.055;0.003;-0.165;0;0;0;-0.767;0.121;0.034;0.786;-0.125;0.231;0.052;0;0;-0.74;0.155;-0.067;0.731;-0.894;0.063;0.167;-1;-0.785;0.652;0.65;-0.112;-0.734;-0.011;0.139;-0.688;1;-1;-0.403;-0.63;-1;-1;-0.822;-0.607;-1;-1;-1;-1;-0.628;0.089;0.414;-0.378;0.464;-0.6;-0.574;-1;1;-1;-0.228;-0.936;-0.952;-0.988;-0.303;-0.999;0.023;-0.547;-0.049
-0.058;0.01;-0.012;0;0;0;0;0;0;-0.029;-0.032;-0.206;-0.03;-0.01;-0.208;0;0;0;0;0;0;0.585;0.135;-0.086;0.952;0.103;0.019;-0.172;0;0.596;0.117;-0.12;0.954;-0.021;-0.017;-0.157;0;0;0;-0.768;0.154;0.314;0.514;-0.003;0;0;0;0;-0.714;0.15;-0.045;0.76;-0.178;-0.142;-0.722;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-1;-0.679;-0.038;0.443;-0.046;-0.134;-0.479;-0.408;-0.56;-0.269;-1;-0.238;-0.584;0.877;-1;-0.32;-0.434;1;-0.554;-0.582
-0.07;-0.001;-0.001;0;0;0;0;0;0;0.028;0.074;0.38;0.023;0.034;0.386;0;0;0;0;0;0;0.602;0.151;-0.115;0.953;0.028;-0.004;-0.163;0;0.587;0.09;-0.099;0.953;0.055;0.003;-0.165;0;0;0;-0.767;0.12;0.034;0.787;-0.124;0.231;0.052;0;0;-0.74;0.154;-0.065;0.731;-0.894;0.063;0.167;-1;-0.785;0.652;0.65;-0.112;-0.734;-0.011;0.139;-0.688;1;-1;-0.403;-0.63;-1;-1;-0.822;-0.607;-1;-1;-1;-1;-0.628;0.089;0.414;-0.378;0.464;-0.6;-0.574;-1;1;-1;-0.228;-0.936;-0.952;-0.988;-0.303;-0.999;0.023;-0.547;-0.049
-0.07;-0.001;-0.001;0;0;0;0;0;0;0.027;0.075;0.379;0.022;0.034;0.385;0;0;0;0;0;0;0.602;0.151;-0.115;0.953;0.028;-0.003;-0.163;0;0.587;0.09;-0.099;0.953;0.055;0.003;-0.165;0;0;0;-0.767;0.12;0.034;0.788;-0.124;0.231;0.052;0;0;-0.74;0.154;-0.065;0.731;-0.894;0.063;0.167;-1;-0.785;0.652;0.65;-0.112;-0.734;-0.011;0.139;-0.688;1;-1;-0.403;-0.63;-1;-1;-0.822;-0.607;-1;-1;-1;-1;-0.628;0.089;0.414;-0.378;0.464;-0.6;-0.574;-1;1;-1;-0.228;-0.936;-0.952;-0.988;-0.303;-0.999;0.023;-0.547;-0.049
-0.07;-0.001;-0.001;0;0;0;0;0;0;0.027;0.075;0.38;0.022;0.035;0.386;0;0;0;0;0;0;0.602;0.15;-0.115;0.953;0.028;-0.003;-0.163;0;0.587;0.09;-0.099;0.953;0.055;0.003;-0.165;0;0;0;-0.767;0.119;0.034;0.788;-0.124;0.231;0.052;0;0;-0.739;0.154;-0.064;0.731;-0.894;0.063;0.167;-1;-0.785;0.652;0.65;-0.112;-0.734;-0.011;0.139;-0.688;1;-1;-0.403;-0.63;-1;-1;-0.822;-0.607;-1;-1;-1;-1;-0.628;0.089;0.414;-0.378;0.464;-0.6;-0.574;-1;1;-1;-0.228;-0.936;-0.952;-0.988;-0.303;-0.999;0.023;-0.547;-0.049
-0.07;0;-0.001;0;0;0;0;0;0;0.027;0.077;0.386;0.021;0.036;0.392;0;0;0;0;0;0;0.602;0.15;-0.115;0.953;0.027;-0.003;-0.163;0;0.586;0.09;-0.099;0.953;0.055;0.003;-0.165;0;0;0;-0.767;0.119;0.034;0.789;-0.123;0.231;0.052;0;0;-0.739;0.154;-0.064;0.731;-0.894;0.063;0.167;-1;-0.785;0.652;0.65;-0.112;-0.734;-0.011;0.139;-0.688;1;-1;-0.403;-0.63;-1;-1;-0.822;-0.607;-1;-1;-1;-1;-0.628;0.089;0.414;-0.378;0.464;-0.6;-0.574;-1;1;-1;-0.228;-0.936;-0.952;-0.988;-0.303;-0.999;0.023;-0.547;-0.049
-0.059;0.003;-0.005;0;0;0;0;0;0;0.05;0.052;0.29;0.047;0.021;0.294;0;0;0;0;0;0;0.566;0.157;-0.111;0.953;0.059;0.006;-0.165;0;0.572;0.093;-0.102;0.953;0.024;-0.006;-0.162;0;0;0;-0.731;0.104;-0.02;0.792;-0.133;0.231;0.052;0;0;-0.737;0.162;-0.034;0.731;-0.893;0.063;0.167;-1;-0.785;0.652;0.65;-0.112;-0.734;-0.011;0.139;-0.688;1;-1;-0.403;-0.63;-1;-1;-0.822;-0.607;-1;-1;-1;-1;-0.628;0.089;0.414;-0.378;0.464;-0.6;-0.574;-1;1;-1;-0.228;-0.936;-0.952;-0.988;-0.303;-0.999;0.023;-0.547;-0.049
-0.052;0.012;-0.019;0;0;0;0;0;0;-0.055;-0.056;-0.288;-0.058;-0.025;-0.292;0;0;0;0;0;0;0.585;0.128;-0.08;0.95;0.112;0.022;-0.171;0;0.602;0.118;-0.121;0.953;-0.033;-0.02;-0.158;0;0;0;-0.778;0.186;0.193;0.226;0.002;0;0;0;0;-0.681;0.147;-0.089;0.771;-0.185;-0.142;-0.722;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-1;-0.679;-0.038;0.443;-0.046;-0.134;-0.479;-0.408;-0.56;-0.269;-1;-0.238;-0.584;0.877;-1;-0.32;-0.434;1;-0.554;-0.582
