0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
-0.059;-0.006;-0.001;0;0;0;0;0;0;-0.133;0.24;-0.014;0.036;0.053;0.097;0;0;0;0;0.257;0;0.65;0.159;-0.114;0.921;-0.015;-0.013;-0.161;0;0.656;0.046;-0.084;0.923;0.091;0.01;-0.144;0;0;0;-0.698;0.122;-0.125;0.822;0.015;0.385;-0.457;0;0;-0.734;0.13;-0.227;0.831;-0.071;0.484;-0.182;-1;-0.842;-0.546;0.242;-0.006;-0.835;-0.364;-0.142;-0.263;-0.313;-0.613;-0.15;-0.294;-1;-0.338;0.047;-0.337;-0.65;-0.593;0.094;-1;-1;-0.128;0.576;-0.121;0.774;-0.378;-0.039;-0.254;1;-0.832;-0.415;-0.246;-0.484;-0.454;-0.325;-0.44;0.465;-0.419;-0.657
-0.063;-0.01;0;0;0;0;0;0;0;-0.148;0.169;0.009;0.057;0.014;0.184;0;0;0;0;0.257;0;0.601;0.157;-0.109;0.92;-0.039;-0.018;-0.159;0;0.641;0.041;-0.081;0.925;0.11;0.013;-0.128;0;0;0;-0.674;0.135;-0.178;0.817;-0.086;0.662;-0.634;0;0;-0.729;0.123;-0.278;0.835;-0.204;0.373;-0.856;-1;-0.829;-0.39;0.539;0.128;-0.601;-0.035;-0.009;-0.759;0.194;-0.657;0.227;-0.704;-0.969;-0.544;-0.166;-0.552;-0.678;-0.682;-0.539;-1;-1;-0.663;0.265;-0.431;0.023;-0.552;0.339;-0.543;0.267;-0.581;0.498;-0.517;0.228;-0.545;0.407;-0.477;0.852;-0.24;0.364
-0.06;-0.008;0;0;0;0;0;0;0;0.018;0.097;0.103;0.066;0.035;0.156;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.085;0.008;-0.122;0;0;0;-0.692;0.132;-0.134;0.817;-0.136;0.103;-0.622;0;0;-0.738;0.145;-0.206;0.828;-0.201;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
-0.06;-0.008;0;0;0;0;0;0;0;0.01;0.105;0.094;0.067;0.034;0.157;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.086;0.008;-0.122;0;0;0;-0.692;0.132;-0.134;0.817;-0.136;0.103;-0.622;0;0;-0.738;0.145;-0.207;0.829;-0.201;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
-0.06;-0.008;0;0;0;0;0;0;0;0.013;0.104;0.097;0.067;0.035;0.157;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.086;0.008;-0.122;0;0;0;-0.692;0.132;-0.134;0.817;-0.136;0.103;-0.622;0;0;-0.738;0.144;-0.208;0.829;-0.201;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
-0.06;-0.008;0;0;0;0;0;0;0;0.033;0.085;0.117;0.068;0.035;0.158;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.086;0.008;-0.122;0;0;0;-0.692;0.132;-0.135;0.817;-0.136;0.103;-0.622;0;0;-0.738;0.144;-0.208;0.829;-0.201;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
-0.06;-0.008;0;0;0;0;0;0;0;0.031;0.088;0.115;0.068;0.035;0.159;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.086;0.008;-0.122;0;0;0;-0.692;0.132;-0.135;0.817;-0.136;0.103;-0.622;0;0;-0.738;0.144;-0.208;0.829;-0.201;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
-0.06;-0.008;0;0;0;0;0;0;0;0.044;0.076;0.128;0.069;0.035;0.16;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.086;0.008;-0.122;0;0;0;-0.692;0.132;-0.135;0.816;-0.136;0.103;-0.622;0;0;-0.738;0.144;-0.209;0.829;-0.201;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
-0.06;-0.008;0;0;0;0;0;0;0;0.054;0.066;0.138;0.068;0.035;0.159;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.086;0.008;-0.122;0;0;0;-0.692;0.132;-0.135;0.816;-0.136;0.103;-0.622;0;0;-0.738;0.144;-0.209;0.829;-0.201;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
-0.06;-0.008;0;0;0;0;0;0;0;0.05;0.067;0.133;0.065;0.035;0.154;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.086;0.008;-0.122;0;0;0;-0.692;0.132;-0.135;0.816;-0.136;0.103;-0.622;0;0;-0.738;0.144;-0.208;0.829;-0.201;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
-0.06;-0.008;0;0;0;0;0;0;0;0.042;0.069;0.116;0.059;0.037;0.138;0;0;0;0;0.257;0;0.608;0.164;-0.112;0.922;-0.012;-0.013;-0.161;0;0.636;0.032;-0.079;0.927;0.086;0.008;-0.122;0;0;0;-0.692;0.132;-0.135;0.816;-0.136;0.103;-0.622;0;0;-0.737;0.144;-0.208;0.829;-0.202;0.358;-0.009;-1;0.003;-0.329;0.08;0.429;-0.703;-0.094;0.047;0.275;-0.966;-0.29;-0.021;0.166;-0.156;-0.088;0.091;-0.116;-0.533;-0.204;0.4;-1;-1;-0.663;0.003;0.048;-0.476;0.138;0.439;-0.011;-1;-0.177;0.34;-0.179;1;-0.12;0.288;-0.345;1;-0.024;0.005
