0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
-0.066;0.004;-0.001;0;0;0;0;0;0;-0.032;0.033;0.233;-0.034;0.009;0.235;0;0;0;0;0;0;0.514;0.133;-0.078;0.856;0.356;-0.074;-0.188;0;0.502;0.13;-0.069;0.808;-0.285;0.194;-0.133;0;0;0;-0.81;0.144;0.106;0.746;-0.525;-0.181;0.012;0;0;-0.734;0.135;-0.049;0.771;-0.265;0.012;0.155;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-1;0.599;0.59;-0.445;0.645;0.199;0.568;-0.432;1;-0.184;0.11;-0.574;-0.771;-0.579;-1;-0.65;0.404;0.002;-0.909
-0.066;0.004;-0.001;0;0;0;0;0;0;-0.034;0.033;0.232;-0.036;0.008;0.234;0;0;0;0;0;0;0.514;0.133;-0.077;0.853;0.355;-0.088;-0.185;0;0.502;0.13;-0.07;0.81;-0.274;0.192;-0.133;0;0;0;-0.81;0.144;0.106;0.746;-0.525;-0.181;0.012;0;0;-0.734;0.135;-0.05;0.771;-0.264;0.012;0.155;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-1;0.599;0.59;-0.445;0.645;0.199;0.568;-0.432;1;-0.184;0.11;-0.574;-0.771;-0.579;-1;-0.65;0.404;0.002;-0.909
-0.066;0.004;-0.001;0;0;0;0;0;0;-0.037;0.031;0.227;-0.039;0.007;0.229;0;0;0;0;0;0;0.514;0.133;-0.077;0.85;0.353;-0.106;-0.183;0;0.502;0.13;-0.07;0.814;-0.269;0.189;-0.131;0;0;0;-0.81;0.144;0.106;0.746;-0.525;-0.181;0.012;0;0;-0.734;0.135;-0.05;0.771;-0.264;0.012;0.155;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-1;0.599;0.59;-0.445;0.645;0.199;0.568;-0.432;1;-0.184;0.11;-0.574;-0.771;-0.579;-1;-0.65;0.404;0.002;-0.909
-0.054;0.006;-0.004;0;0;0;0;0;0;-0.029;0.056;0.127;-0.029;0.042;0.132;0;0;0;0;0;0;0.532;0.141;-0.067;0.793;0.344;-0.188;-0.188;0;0.499;0.126;-0.124;1;0.383;0.195;0.148;0;0;0;-0.836;0.135;0.174;0.767;-0.528;-0.181;0.011;0;0;-0.707;0.126;-0.097;0.753;-0.772;0.507;1;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-0.067;0.201;0.313;0.724;-0.638;0.524;0.51;0.665;-1;-0.187;-0.612;0.597;1;-0.003;-0.548;-0.157;1;-0.488;-0.973
-0.066;0.004;-0.001;0;0;0;0;0;0;-0.042;0.028;0.211;-0.044;0.006;0.213;0;0;0;0;0;0;0.513;0.133;-0.076;0.847;0.352;-0.14;-0.183;0;0.501;0.13;-0.071;0.822;-0.268;0.186;-0.128;0;0;0;-0.81;0.144;0.106;0.746;-0.525;-0.181;0.012;0;0;-0.734;0.135;-0.049;0.771;-0.263;0.012;0.155;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-1;0.599;0.59;-0.445;0.645;0.199;0.568;-0.432;1;-0.184;0.11;-0.574;-0.771;-0.579;-1;-0.65;0.404;0.002;-0.909
-0.065;0.004;-0.001;0;0;0;0;0;0;-0.042;0.028;0.203;-0.044;0.006;0.204;0;0;0;0;0;0;0.513;0.133;-0.075;0.846;0.352;-0.153;-0.183;0;0.501;0.13;-0.072;0.827;-0.274;0.184;-0.126;0;0;0;-0.81;0.144;0.106;0.746;-0.525;-0.181;0.012;0;0;-0.734;0.135;-0.049;0.771;-0.262;0.012;0.155;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-1;0.599;0.59;-0.445;0.645;0.199;0.568;-0.432;1;-0.184;0.11;-0.574;-0.771;-0.579;-1;-0.65;0.404;0.002;-0.909
-0.065;0.004;-0.001;0;0;0;0;0;0;-0.042;0.026;0.196;-0.043;0.005;0.197;0;0;0;0;0;0;0.513;0.133;-0.075;0.846;0.351;-0.164;-0.185;0;0.501;0.13;-0.073;0.832;-0.284;0.183;-0.123;0;0;0;-0.81;0.144;0.106;0.745;-0.525;-0.181;0.012;0;0;-0.734;0.135;-0.048;0.771;-0.262;0.012;0.155;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-1;0.599;0.59;-0.445;0.645;0.199;0.568;-0.432;1;-0.184;0.11;-0.574;-0.771;-0.579;-1;-0.65;0.404;0.002;-0.909
-0.055;0.01;-0.006;0;0;0;0;0;0;-0.022;0.055;0.162;-0.023;0.038;0.167;0;0;0;0;0;0;0.533;0.137;-0.061;0.792;0.341;-0.188;-0.189;0;0.499;0.128;-0.132;1;0.388;0.206;0.149;0;0;0;-0.84;0.135;0.17;0.766;-0.527;-0.181;0.011;0;0;-0.711;0.129;-0.088;0.749;-0.77;0.507;1;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-0.067;0.201;0.313;0.724;-0.638;0.524;0.51;0.665;-1;-0.187;-0.612;0.597;1;-0.003;-0.548;-0.157;1;-0.488;-0.973
-0.065;0.004;-0.001;0;0;0;0;0;0;-0.043;0.032;0.213;-0.045;0.009;0.215;0;0;0;0;0;0;0.512;0.133;-0.075;0.845;0.351;-0.178;-0.186;0;0.501;0.13;-0.074;0.84;-0.296;0.184;-0.123;0;0;0;-0.81;0.144;0.105;0.745;-0.525;-0.181;0.012;0;0;-0.735;0.135;-0.046;0.771;-0.261;0.012;0.155;-1;-0.439;0.084;0.425;0.309;-0.248;0.597;0.649;-0.434;0.752;-0.321;-0.548;-0.606;-1;-0.545;-0.332;-0.685;-1;-0.539;-0.333;-1;-1;0.599;0.59;-0.445;0.645;0.199;0.568;-0.432;1;-0.184;0.11;-0.574;-0.771;-0.579;-1;-0.65;0.404;0.002;-0.909
-0.063;-0.002;-0.002;0;0;0;0;0;0;-0.042;0.076;0.267;-0.044;0.048;0.273;0;0;0;0;0;0;0.523;0.142;-0.066;0.747;0.342;-0.192;-0.19;0;0.498;0.141;-0.064;0.718;-0.315;0.197;-0.133;0;0;0;-0.791;0.154;0.103;0.753;-0.191;-0.102;-0.056;0;0;-0.71;0.114;-0.102;0.764;-0.767;0.507;1;-1;-0.786;0.26;0.5;0.071;-0.423;0.436;0.504;-0.251;0.116;-0.088;-0.047;-0.5;-1;-0.562;-0.545;-0.563;-0.941;-0.589;-0.628;-1;-0.067;0.201;0.313;0.724;-0.638;0.524;0.51;0.665;-1;-0.187;-0.612;0.597;1;-0.003;-0.548;-0.157;1;-0.488;-0.973
